1850 57.19824
9.108 4 158
9.265 3 161
9.422 2 163
10.049 0 174
10.363 2 179
10.520 1 182
10.677 4 185
10.991 3 190
11.148 0 193
11.619 2 201
11.775 1 204
11.932 0 207
12.560 4 217
12.874 0 223
13.031 4 226
13.188 3 228
13.501 2 234
13.658 2 236
13.972 1 242
14.129 0 244
14.443 3 250
15.070 0 261
15.384 2 266
15.698 4 271
16.012 2 277
16.326 0 282
16.483 1 285
16.639 2 288
16.796 3 290
16.953 4 293
17.110 3 296
17.267 2 299
17.424 1 301
17.581 0 304
17.738 0 307
18.052 1 312
18.208 3 315
18.522 4 320
18.836 3 326
19.150 1 331
19.464 0 336
19.778 2 342
20.091 4 347
20.248 3 350
20.405 4 353
20.719 0 358
21.347 0 369
21.503 1 372
21.660 0 374
21.817 3 377
22.602 4 391
22.759 3 393
22.916 4 396
23.073 3 399
23.229 2 401
23.386 3 404
23.543 4 407
23.700 0 409
23.857 1 412
24.014 2 415
24.171 1 418
24.328 0 420
24.485 1 423
24.642 0 426
24.798 2 428
25.112 4 434
25.426 0 439
25.740 2 445
26.367 4 455
26.524 3 458
26.691 1 461
26.838 0 464
26.995 2 466
27.623 0 477
27.937 1 482
28.250 4 488
28.564 3 493
28.878 2 499
29.192 3 504
29.506 2 510
29.819 1 515
30.133 4 520
30.290 4 523
33.899 0 585
34.213 2 591
34.526 4 596
35.154 4 607
35.311 3 610
35.468 2 612
35.782 0 618
36.409 0 629
36.566 1 631
36.723 2 634
37.037 4 639
37.665 3 650
37.821 2 653
37.978 1 656
38.292 4 661
38.606 1 666
38.920 0 672
39.077 1 675
39.234 2 677
39.547 4 683
40.175 0 693
40.332 1 696
40.489 2 699
40.803 2 704
41.430 4 715
41.587 3 718
41.744 2 721
42.058 2 726
42.685 2 737
42.999 3 742
43.313 1 748
43.627 4 753
43.941 0 758
44.098 1 761
44.411 3 767
44.568 4 769
45.196 4 780
45.353 3 783
45.510 4 785
45.824 0 791
45.980 1 794
46.137 0 796
46.451 4 802
46.608 2 804
46.765 4 807
47.079 0 812
47.236 2 815
47.393 0 818
47.706 4 823
47.863 3 826
48.020 2 829
48.334 0 834
48.491 1 837
48.648 2 840
49.275 2 850
49.589 2 856
50.217 1 867
50.374 2 869
50.531 3 872
50.844 4 877
51.001 3 880
51.158 2 883
51.472 3 888
51.629 2 891
51.786 1 894
52.100 2 899
52.257 1 902
52.414 0 904
52.727 2 910
53.041 2 915
53.355 2 921
53.669 4 926
53.983 0 932
55.238 0 953
55.395 1 956
55.552 0 959
55.708 1 961
56.022 3 967
56.179 4 969
56.493 1 975
56.807 2 980
57.121 3 986
57.748 4 996
57.905 3 999
58.062 4 1002
58.219 3 1005
58.533 1 1010
58.690 0 1013
59.317 2 1024
59.631 4 1029
60.259 2 1040
60.886 3 1051
61.043 4 1053
61.200 3 1056
61.357 2 1059
61.828 4 1067
62.142 1 1072
62.298 0 1075
62.455 1 1078
62.612 2 1080
63.083 0 1088
63.397 3 1094
63.554 2 1097
63.711 1 1099
63.867 2 1102
64.652 4 1115
64.966 2 1121
65.280 0 1126
65.437 1 1129
65.593 0 1132
65.750 1 1134
65.907 2 1137
66.221 4 1143
66.378 3 1145
66.535 4 1148
66.692 3 1151
66.849 2 1153
67.790 0 1169
67.947 1 1172
68.104 2 1175
68.261 3 1178
68.418 4 1180
68.732 1 1186
68.888 0 1189
69.045 4 1191
70.301 3 1213
70.457 2 1216
70.614 3 1218
70.771 2 1221
70.928 1 1224
71.242 1 1229
71.399 2 1232
71.556 1 1235
71.713 2 1237
71.870 3 1240
72.811 4 1256
72.968 3 1259
73.125 2 1262
73.283 1 1264
73.439 0 1267
73.752 2 1272
73.909 1 1275
74.066 4 1278
75.321 0 1299
75.792 0 1308
76.263 4 1316
76.734 3 1324
77.204 1 1332
77.518 2 1337
77.832 0 1343
77.989 1 1345
78.303 4 1351
78.773 3 1359
79.244 2 1367
79.715 1 1375
80.029 1 1381
80.342 0 1386
80.813 2 1394
81.284 4 1402
81.755 2 1410
82.225 3 1418
82.539 3 1424
82.853 4 1429
83.324 2 1437
83.794 4 1446
84.108 3 1451
84.579 2 1459
85.049 1 1467
85.363 1 1473
85.677 0 1478
85.991 1 1483
86.305 2 1489
86.619 4 1494
86.775 3 1497
86.932 4 1500
87.089 3 1502
87.246 2 1505
87.403 1 1508
87.560 0 1510
87.874 0 1516
88.188 2 1521
88.501 1 1527
88.815 0 1532
89.129 2 1538
89.286 3 1540
89.443 4 1543
89.600 3 1546
89.757 2 1548
89.914 1 1551
90.070 0 1554
90.384 1 1559
90.698 2 1565
91.012 0 1570
91.326 1 1575
91.639 0 1581
91.796 1 1583
91.953 2 1586
92.110 1 1589
92.267 0 1592
92.424 1 1594
92.581 2 1597
92.738 3 1600
92.895 4 1602
93.208 1 1608
93.365 2 1611
93.522 3 1613
93.836 2 1619
93.993 3 1621
94.150 4 1624
94.464 4 1629
94.778 3 1635
95.091 4 1640
95.405 2 1646
95.719 0 1651
96.660 2 1667
96.817 3 1670
96.974 4 1673
97.131 3 1675
97.288 2 1678
97.445 1 1681
97.602 0 1684
97.916 2 1689
98.229 4 1694
99.014 4 1708
99.171 3 1711
99.328 2 1713
99.485 1 1716
99.642 0 1719
99.798 1 1721
99.955 2 1724
100.112 3 1727
100.269 4 1730
100.426 0 1732
100.740 3 1738
100.897 3 1740
101.681 1 1754
101.838 2 1757
101.995 3 1759
102.152 2 1762
102.309 1 1765
102.466 2 1767
102.623 3 1770
102.780 4 1773
102.937 0 1776
103.093 1 1778
103.250 2 1781
103.407 3 1784
103.564 4 1786
103.721 0 1789
103.878 1 1791
104.035 3 1794
104.192 4 1797
104.819 2 1808
105.447 4 1819
