3100 52.26667
3.136 0 60
3.311 1 63
3.485 3 66
3.659 2 70
4.532 3 86
4.706 2 89
4.880 0 93
5.055 3 96
5.927 0 113
6.101 1 116
6.276 3 119
6.450 2 122
7.322 0 139
7.497 1 142
7.671 3 145
7.846 0 149
8.718 3 165
9.066 0 172
9.415 0 178
9.590 1 182
9.764 2 185
9.939 3 188
10.113 0 192
10.462 3 198
10.811 3 205
10.985 2 208
11.159 1 211
11.334 0 215
12.904 3 244
13.078 0 247
13.427 2 254
15.694 3 297
16.043 0 303
17.090 0 323
17.439 3 330
18.485 2 349
18.834 1 356
19.880 1 376
20.229 2 382
21.276 0 402
21.450 1 405
22.497 3 425
23.369 3 442
23.543 2 445
23.718 1 448
23.892 0 451
25.462 0 481
25.636 1 484
25.811 2 488
26.159 3 494
26.334 2 498
26.508 1 501
26.683 0 504
27.032 0 511
27.555 3 520
28.252 0 534
28.950 3 547
29.648 1 560
29.822 1 563
30.346 3 573
30.869 2 583
31.043 2 586
31.741 0 600
32.439 3 613
32.613 2 616
32.962 0 623
33.659 3 636
34.532 0 652
34.706 1 655
34.880 2 659
35.055 3 662
35.229 2 665
35.404 1 669
35.578 0 672
35.752 1 675
35.927 2 679
38.020 3 718
38.543 0 728
39.415 0 744
39.939 3 754
40.811 1 771
41.334 2 781
42.206 2 797
42.729 1 807
43.601 0 823
44.125 1 833
44.997 3 850
45.520 2 860
46.392 3 876
46.741 2 883
47.090 1 889
47.439 0 896
47.787 0 902
48.136 1 909
48.485 2 915
48.834 3 922
49.183 2 929
49.706 3 939
50.578 1 955
51.101 0 965
51.973 0 981
52.322 1 988
52.671 2 994
53.020 3 1001
53.369 3 1008
53.718 2 1014
54.066 1 1021
54.415 0 1027
54.764 0 1034
55.287 3 1044
56.159 3 1060
56.683 0 1070
57.555 2 1087
57.904 1 1093
58.252 2 1100
58.601 1 1106
60.346 0 1139
61.043 3 1152
61.741 3 1166
62.439 0 1179
63.136 1 1192
63.485 3 1198
63.659 2 1202
63.834 1 1205
64.183 1 1212
64.880 0 1225
65.055 1 1228
65.229 2 1231
65.578 2 1238
65.927 3 1245
66.276 2 1251
66.450 1 1254
66.625 0 1258
66.973 0 1264
67.671 1 1278
67.846 2 1281
68.020 3 1284
68.369 3 1291
70.636 1 1333
70.985 2 1340
71.334 3 1347
72.206 3 1363
72.904 0 1376
73.078 1 1379
73.252 3 1383
73.427 2 1386
74.299 1 1403
74.473 2 1406
74.648 0 1409
74.822 3 1412
75.694 3 1429
75.869 2 1432
76.043 0 1435
76.218 1 1439
77.090 1 1455
77.264 2 1459
77.439 3 1462
77.613 0 1465
78.485 3 1481
78.834 3 1488
79.880 0 1508
80.229 0 1514
81.276 2 1534
82.671 2 1561
82.846 1 1564
83.194 2 1570
85.462 0 1613
85.636 1 1616
86.159 3 1626
86.857 3 1640
87.032 2 1643
87.555 0 1653
88.252 2 1666
88.601 1 1672
89.648 1 1692
89.997 2 1699
91.043 0 1718
91.218 0 1722
91.741 3 1732
92.439 3 1745
92.613 3 1748
93.136 0 1758
93.834 1 1771
95.229 3 1797
95.404 2 1801
95.578 1 1804
95.752 0 1807
95.927 0 1811
96.101 1 1814
96.276 2 1817
96.799 3 1827
97.322 0 1837
98.020 3 1850
98.718 0 1863
99.415 3 1876
99.764 2 1883
100.113 1 1890
100.462 0 1896
100.811 0 1903
101.159 1 1909
101.508 2 1916
101.857 3 1923
102.206 3 1929
103.601 1 1955
103.776 2 1959
107.787 3 2034
108.136 3 2041
109.183 2 2061
109.532 2 2067
110.578 0 2087
110.927 1 2094
111.276 0 2100
111.625 1 2107
111.973 2 2113
112.322 3 2120
112.671 2 2127
113.020 3 2133
113.369 0 2140
113.718 0 2146
114.764 1 2166
115.113 1 2173
116.159 3 2192
116.508 2 2199
116.857 3 2206
117.206 2 2212
117.555 1 2219
117.904 0 2225
118.252 1 2232
118.601 0 2238
118.950 2 2245
119.299 1 2252
120.346 1 2271
120.694 2 2278
121.741 3 2298
122.090 3 2304
122.439 2 2311
122.787 3 2317
123.136 2 2324
123.485 1 2331
123.834 0 2337
124.008 0 2340
124.183 0 2344
124.532 1 2350
124.880 2 2357
125.927 2 2377
126.276 1 2383
127.322 0 2403
127.671 0 2410
128.020 1 2416
128.369 0 2423
128.718 1 2429
129.066 2 2436
129.415 3 2442
129.590 3 2446
129.764 3 2449
130.113 1 2456
130.462 0 2462
131.508 2 2482
131.857 3 2489
132.904 1 2508
133.252 0 2515
133.601 1 2522
133.950 2 2528
134.299 2 2535
134.648 3 2541
134.997 2 2548
135.346 1 2554
135.694 0 2561
136.043 0 2568
137.090 3 2587
137.439 3 2594
141.101 0 2663
141.276 1 2666
141.625 3 2673
142.497 3 2689
142.671 2 2693
143.020 0 2699
144.066 2 2719
144.590 1 2729
145.462 1 2745
145.985 2 2755
146.857 0 2772
147.206 0 2778
148.252 3 2798
148.601 3 2805
149.648 2 2824
149.822 1 2828
150.171 0 2834
151.043 1 2851
151.218 2 2854
151.566 3 2860
152.439 2 2877
152.787 1 2883
153.834 0 2903
154.183 2 2910
154.532 3 2916
155.229 1 2930
155.578 2 2936
156.625 3 2956
156.973 1 2962
157.322 0 2969
158.020 0 2982
159.415 3 3009
160.811 1 3035
163.601 2 3087

