1790 48.367749
1.329 3 28
2.629 2 54
3.229 2 67
3.828 3 79
4.378 2 90
4.678 1 96
5.028 0 103
6.627 3 136
8.127 0 159
8.327 3 163
8.626 1 169
9.226 3 181
9.826 3 193
10.126 3 199
10.376 2 205
10.626 1 210
10.926 0 216
11.875 2 235
12.275 3 243
13.075 0 260
13.425 1 267
13.974 3 278
14.274 2 284
14.574 3 290
16.123 1 322
16.423 2 328
16.723 1 334
17.023 2 340
17.273 1 345
17.573 2 351
17.873 1 358
18.173 2 364
19.272 3 386
19.572 0 392
19.822 2 397
20.122 1 403
20.472 3 410
21.871 0 439
23.021 1 463
24.17 0 486
24.42 3 491
24.72 1 497
25.07 2 504
25.37 3 510
25.82 0 520
25.97 3 523
26.819 3 540
27.169 2 547
27.469 2 553
27.769 1 559
28.219 3 569
28.419 0 573
28.868 2 582
29.018 3 585
29.618 1 597
29.918 2 603
30.268 3 610
30.718 0 620
31.667 1 639
31.967 2 645
32.267 3 651
32.567 0 657
33.067 3 667
33.467 1 676
33.666 2 680
34.316 3 693
34.616 2 699
34.966 1 706
35.316 0 713
35.466 0 716
36.415 1 736
36.765 3 743
37.065 3 749
37.315 0 754
37.765 1 762
37.915 2 766
38.315 3 775
38.465 0 778
39.114 0 791
39.414 3 797
39.714 1 803
40.214 3 813
40.364 3 816
41.463 2 839
41.663 1 843
41.913 3 848
42.163 0 853
42.613 3 862
42.763 3 865
43.063 0 872
43.263 1 876
43.862 3 888
44.162 2 894
44.512 1 901
44.962 0 910
46.111 1 934
46.411 3 940
46.761 0 947
47.011 3 952
47.461 2 961
47.861 1 969
48.061 3 974
48.71 0 987
49.01 1 993
49.36 2 1000
49.71 0 1007
49.86 3 1010
50.86 2 1031
51.159 3 1037
51.459 1 1043
51.759 0 1049
52.209 2 1058
52.409 3 1062
52.809 0 1070
53.009 0 1075
53.509 3 1085
54.158 0 1098
55.208 2 1119
55.608 3 1128
55.808 0 1132
56.207 2 1140
56.957 1 1155
57.507 3 1166
57.707 0 1170
57.907 2 1175
58.307 1 1183
58.706 2 1191
59.006 3 1197
59.856 2 1214
60.156 1 1220
60.406 2 1225
60.706 1 1232
61.056 3 1239
61.355 0 1245
61.605 2 1250
62.205 1 1262
63.205 3 1283
63.455 1 1288
63.804 3 1295
64.654 0 1312
65.004 1 1319
65.304 1 1325
65.604 2 1332
65.904 3 1338
66.253 0 1345
66.553 2 1351
66.853 0 1357
67.103 2 1362
67.403 3 1368
68.852 2 1398
69.152 3 1404
69.452 0 1410
69.752 2 1416
70.052 3 1422
70.352 0 1429
70.652 1 1434
70.952 1 1441
71.251 2 1447
71.551 3 1453
71.851 1 1459
72.151 3 1465
72.801 0 1478
73.101 3 1485
73.401 0 1491
74.2 2 1507
74.55 1 1514
74.85 3 1520
75.15 2 1526
75.45 1 1532
75.75 0 1539
76.05 0 1545
76.349 3 1551
76.649 0 1557
76.949 3 1563
78.449 2 1594
78.798 0 1601
79.148 2 1608
79.398 3 1613
79.698 3 1619
79.998 0 1625
80.448 0 1634
81.797 3 1662
82.097 0 1668
82.397 3 1674
82.697 0 1680
82.997 2 1686
84.196 3 1711
85.496 2 1737
86.595 1 1760
