920 46.5055
0.281 0 7
0.612 1 14
0.944 2 21
1.275 1 28
2.270 3 49
2.436 2 53
2.601 0 56
2.767 1 60
2.933 3 63
3.099 2 66
4.259 3 91
4.591 2 98
4.922 1 105
5.253 2 112
6.249 3 134
6.580 2 141
6.912 1 148
7.243 0 155
8.238 3 176
9.233 0 197
9.564 2 204
9.896 3 211
10.227 1 218
10.559 0 225
10.891 2 232
12.217 3 261
12.548 0 267
12.880 2 275
13.212 3 282
13.543 1 289
13.875 0 296
14.206 2 303
15.201 0 324
15.532 1 331
15.864 2 338
16.196 3 345
16.859 3 359
17.190 0 366
17.853 0 380
18.185 3 387
18.848 3 401
19.180 0 408
20.174 0 430
20.506 2 437
20.838 1 444
21.169 3 451
21.501 0 458
21.832 1 465
22.164 2 472
23.158 3 493
23.490 2 500
23.822 1 507
24.153 0 514
24.485 3 521
24.816 1 528
25.148 2 536
25.811 3 550
25.977 2 553
26.143 1 557
27.137 0 578
27.303 1 582
27.469 2 585
28.152 3 599
28.298 2 602
28.464 1 606
29.127 0 620
30.121 0 641
30.453 1 648
30.784 2 655
31.116 3 663
31.448 2 670
31.779 1 677
32.111 0 684
32.608 1 694
33.105 3 705
33.603 2 716
34.100 0 726
34.597 1 737
35.095 3 747
35.592 2 758
36.090 0 768
37.084 0 789
38.079 3 811
38.245 2 814
38.410 1 818
38.742 0 825
38.908 1 828
39.074 2 832
39.737 3 846
40.068 2 853
40.400 0 861
40.731 1 867
41.063 2 874
41.395 3 881
41.726 3 888
42.058 3 895
