1900 45.7053
12.124 3 264
12.466 3 272
14.859 0 324
15.201 0 331
17.765 2 387
18.107 2 394
20.329 1 442
20.671 2 450
23.235 3 506
24.774 0 539
24.945 3 543
25.799 2 561
26.141 1 569
28.705 1 625
29.332 2 638
29.902 3 651
30.586 0 665
31.269 3 680
31.440 3 684
31.611 3 688
32.637 0 710
32.979 1 718
33.264 2 724
34.004 0 740
34.175 0 744
34.346 0 747
35.372 2 770
35.714 1 777
36.056 0 784
36.910 0 803
37.081 0 807
37.252 0 810
38.278 1 833
38.620 2 840
38.962 3 848
39.645 3 862
39.987 1 870
40.158 1 874
40.671 3 885
41.013 3 892
42.380 2 922
42.551 2 926
43.064 1 937
43.463 1 945
43.748 0 952
45.115 3 981
45.286 3 985
45.799 0 996
46.141 1 1004
46.483 2 1011
47.680 3 1037
47.851 3 1041
48.363 2 1052
48.705 1 1059
49.047 0 1067
50.415 0 1097
50.586 0 1100
51.098 1 1111
51.440 2 1119
51.782 3 1126
53.492 3 1163
53.662 2 1167
53.833 1 1171
54.004 0 1175
54.175 3 1178
54.346 2 1182
54.688 0 1189
55.885 3 1215
56.739 1 1234
57.423 2 1249
58.107 1 1264
58.791 2 1279
59.218 1 1288
59.474 1 1294
60.158 0 1308
61.355 2 1334
61.526 2 1338
62.039 3 1349
62.893 3 1368
64.090 3 1394
64.261 3 1398
64.603 2 1405
64.945 2 1412
65.115 2 1416
65.457 1 1424
65.628 1 1427
65.970 3 1435
66.312 2 1442
66.654 1 1450
66.996 0 1457
67.338 1 1464
67.680 2 1472
68.021 3 1479
71.184 3 1548
71.440 0 1554
72.466 1 1576
73.150 2 1591
73.833 3 1606
74.004 3 1609
74.346 2 1617
74.517 2 1621
75.030 0 1632
75.201 0 1635
75.543 1 1643
75.714 2 1647
75.885 3 1650
76.568 3 1665
76.739 2 1669
77.081 3 1676
77.252 2 1680
77.423 1 1684
77.594 0 1687
77.936 3 1695
78.620 1 1710
79.474 0 1728
80.842 1 1758
81.526 2 1773
82.209 3 1788
82.893 2 1803
83.577 1 1817
84.261 0 1832
84.945 3 1847
85.115 3 1851
85.286 3 1855
85.628 0 1862
85.799 0 1866
85.970 0 1870

