3160 41.274
4.586 0 108
5.345 1 126
6.104 3 144
6.864 2 162
7.623 3 180
8.383 2 198
9.142 1 216
9.902 0 234
10.282 1 243
10.661 2 252
11.041 2 261
11.801 3 280
12.180 2 289
12.560 2 298
12.940 3 306
13.699 2 325
14.079 2 334
15.029 2 356
15.218 3 361
15.978 0 379
16.168 1 384
16.358 2 388
16.548 3 393
16.737 0 397
17.497 1 415
18.256 2 433
19.016 3 451
19.775 2 469
20.535 1 488
20.915 1 497
21.294 2 506
22.054 0 524
22.434 1 533
22.813 2 542
23.193 2 551
23.573 2 560
23.763 2 565
23.953 2 569
24.332 1 578
24.712 2 587
25.092 2 596
25.282 2 601
25.472 2 605
25.851 3 614
26.231 2 623
26.611 1 632
26.991 0 641
27.180 1 646
27.370 2 650
27.560 3 655
27.750 2 659
27.940 1 664
28.130 0 668
28.320 1 673
28.510 2 677
28.699 3 682
28.889 3 686
29.269 0 695
29.459 1 700
29.649 2 705
29.839 1 709
30.029 0 714
30.218 1 718
30.408 2 723
30.598 3 727
30.788 2 732
30.978 1 736
31.168 2 741
31.358 3 745
31.927 3 759
32.117 3 763
32.307 0 768
32.497 1 772
32.687 2 777
32.877 2 781
33.446 3 795
33.636 2 799
33.826 1 804
34.016 1 808
34.206 3 813
34.396 3 818
34.965 0 831
35.155 0 836
35.345 3 840
35.535 2 845
35.725 1 849
35.978 1 855
36.484 0 867
36.674 1 872
36.864 2 876
37.054 2 881
37.623 3 894
37.813 0 899
38.003 0 903
38.193 1 908
38.383 2 912
38.573 3 917
38.763 3 922
39.332 2 935
39.522 2 940
39.712 1 944
39.902 1 949
40.092 2 953
40.282 2 958
41.041 0 976
41.231 1 980
41.421 3 985
41.611 2 989
41.801 1 994
41.991 0 998
42.180 2 1003
42.370 3 1007
42.560 0 1012
42.750 1 1016
42.940 2 1021
43.130 2 1025
43.320 3 1030
43.510 2 1035
43.699 1 1039
43.889 1 1044
44.079 3 1048
44.459 2 1057
44.839 1 1066
45.218 0 1075
45.598 1 1084
45.788 2 1089
45.978 2 1093
46.168 0 1098
46.358 1 1102
46.548 2 1107
46.737 2 1111
47.117 3 1120
47.307 2 1125
47.877 0 1139
48.067 1 1143
48.636 3 1157
49.016 2 1166
49.396 1 1175
49.775 0 1184
49.965 0 1188
50.155 0 1193
50.345 1 1197
50.535 1 1202
50.915 2 1211
51.294 3 1220
51.484 3 1224
51.674 3 1229
51.864 2 1233
52.054 2 1238
52.434 1 1247
52.623 1 1252
52.813 0 1256
53.003 0 1261
53.193 0 1265
53.383 3 1270
53.763 1 1279
53.953 2 1283
54.142 1 1288
54.332 2 1292
54.522 1 1297
54.712 2 1301
56.168 2 1336
57.370 1 1364
57.560 1 1369
57.750 0 1374
58.510 1 1392
58.889 2 1401
59.332 3 1411
59.712 3 1420
60.092 3 1429
60.472 2 1438
60.851 1 1447
61.231 0 1456
61.611 0 1466
61.991 1 1475
62.370 0 1483
63.636 2 1513
63.826 3 1518
64.586 2 1536
64.775 3 1540
